alt,visi,cond
2102.416143184757,1.191770241504126,vfr
1089.7663659937937,5.414806716477381,ifr
2037.0697173958765,3.09832770388009,vfr
2116.047574172692,0.9684886126442626,vfr
318.82892689791186,2.439161589742382,ifr
2191.224631911992,4.537225446074519,vfr
2153.4420132108194,3.0278533515177815,vfr
540.0159463843297,0.5357399041729689,ifr
1953.5221763806742,0.09070577401794777,ifr
1162.5457452717174,4.537047436966795,ifr
1104.384939844813,3.5553491666376917,ifr
1073.1584222174445,5.094349127120699,ifr
2154.6518252134047,5.836292911174818,vfr
2079.402733355527,4.97051504085595,vfr
1151.8929911123585,0.983964002724239,ifr
737.169212259235,4.76913545397877,ifr
2068.4207750407577,0.3603605464904279,vfr
2026.8347276156576,3.5289987223934673,vfr
2191.3088209376483,4.760151498669702,vfr
517.3681337788154,2.645689509290497,ifr
127.91053224196224,2.3136763888977305,ifr
480.0405467594191,5.309614544007166,ifr
2037.1795205710996,3.964265775826994,vfr
1952.9189300267915,3.6937648589390655,ifr
1570.3058240462756,3.9463954715011678,ifr
1762.206394222323,2.766334385301579,ifr
2101.268583864761,3.437523497612552,vfr
813.4666916714965,1.1777063653864532,ifr
2048.9139218041128,3.3994445746073048,vfr
3047.608398596823,3.9528956198218386,vfr
2196.770765936323,5.3994897926654115,vfr
1320.34707498537,3.42272929248618,ifr
2182.656719273407,3.4862189550898965,vfr
1002.6487638534045,2.155879171023456,ifr
379.69582380551594,3.5448671839370647,ifr
1278.9450327974473,2.7445892635001488,ifr
2062.125843658261,5.342655553884071,vfr
1497.5765150802663,4.045995593155103,ifr
1184.083862543678,2.7699182036674896,ifr
2038.6472584949113,2.9121943283118985,vfr
1753.0104906331817,0.18323561120036203,ifr
465.4882585581137,1.8671532856980146,ifr
262.1104624305155,2.0270674429328004,ifr
903.6433653395193,1.3239644105412323,ifr
2069.979536100776,2.1271063805498702,vfr
2106.464065651712,1.1974834357643194,vfr
1954.9902794888935,0.41721810344583843,ifr
2020.4633631775189,4.818785718679624,vfr
2098.6813924578355,3.0472147190113876,vfr
1736.2521147364284,1.120533042467051,ifr
871.7298505312536,5.300007903083625,ifr
3094.382758907315,0.715239842772174,vfr
2033.8625381087202,0.011581054530783286,vfr
1596.0936678251273,2.4358156850730577,ifr
2044.2436255463185,3.4966368383887665,vfr
187.88102151688335,3.581972392800592,ifr
2046.114257938764,2.4805848091460847,vfr
2151.7969109504684,2.620670481872314,vfr
116.05832064775123,3.713917628803906,ifr
3053.699889104283,3.38885714555028,vfr
1598.4051747047833,1.1180372094629867,ifr
2121.509071958159,4.758831964561853,vfr
2002.7017413253438,3.806248161230206,vfr
1152.3146688356737,4.43040409178658,ifr
2151.2574463002234,5.214454637073169,vfr
2187.032102415565,0.29302910234317237,vfr
1461.4181982549524,5.0508045010606715,ifr
2113.857383996859,2.8113511258215533,vfr
2059.8307289087634,0.8945620789891923,vfr
1130.842623717018,3.820046209619612,ifr
1662.0969104723808,1.9123868321166198,ifr
108.67597667850725,1.250075270726133,ifr
540.6558104774293,5.7575130021713985,ifr
2074.882796775948,0.35194669254958166,vfr
2062.7181223485404,1.2762051760651643,vfr
2142.578460539781,3.0789640058522747,vfr
748.3399606684511,1.1191045916422424,ifr
482.837240153148,1.6241423812714073,ifr
574.1030398392595,5.31579260222688,ifr
2063.346133310691,4.152819525726955,vfr
2024.4171213672935,5.904613173271526,vfr
2187.532618792912,3.893168842666864,vfr
1093.7698033388442,2.8895918857811402,ifr
1858.582834605428,2.817482727262111,ifr
2140.637803203133,5.334116540774097,vfr
1935.5893435970038,0.02365231052532113,ifr
488.8511840032055,2.1998674029501784,ifr
370.46465047236785,1.5229066417222947,ifr
1358.7855469971346,2.028727446832389,ifr
3018.0660621540633,2.182640973994589,vfr
2153.638932892556,4.11916358791561,vfr
2116.463946610411,5.630461861201892,vfr
2151.4813111643452,4.214320886871444,vfr
1711.6066847852221,3.684971655304459e-05,ifr
1104.1565533839416,5.509641541857594,ifr
875.174422525385,2.5327048846590725,ifr
2127.9244485927484,0.34698561571503994,vfr
2007.3382835738826,3.980826749322572,vfr
2077.9097014691138,2.835080330821174,vfr
1641.53424140263,3.250591765665951,ifr
2060.658384283933,4.442224191480793,vfr
2013.6186198484213,0.5310173447024877,vfr
1764.0828204597792,1.4770842200726524,ifr
2097.254417265863,3.338254529710975,vfr
3076.9247119032757,0.5243160124828199,vfr
2019.7220737445623,5.39257908260382,vfr
1380.0500403824547,3.0111293212500563,ifr
2026.4611349706126,4.823225542157553,vfr
1793.3425860806842,0.1290179783708773,ifr
1037.670297663052,0.20655589348012182,ifr
